ticker,industry,sector
BXP,REIT—Office,Real Estate
BYD,Resorts & Casinos,Consumer Discretionary
BYD.TO,Personal Services,Consumer Discretionary
BZLFY,Food Distribution,Consumer Staples
CAAS,Auto Parts,Consumer Discretionary
CACI,Information Technology Services,Information Technology
CAE,Aerospace & Defense,Industrials
CAE.TO,Aerospace & Defense,Industrials
CAG,Packaged Foods,Consumer Staples
CAH,Medical Distribution,Health Care
CAJFF,Computer Hardware,Information Technology
CAJPY,Computer Hardware,Information Technology
CAKE,Restaurants,Consumer Discretionary
CAL,Footwear & Accessories,Consumer Discretionary
CALM,Farm Products,Consumer Staples
CAMP,Communication Equipment,Information Technology
CAMT,Semiconductor Equipment & Materials,Information Technology
CAR,Rental & Leasing Services,Industrials
CAS.TO,Packaging & Containers,Consumer Discretionary
CASY,Specialty Retail,Consumer Discretionary
CATO,Apparel Retail,Consumer Discretionary
CBD,Department Stores,Consumer Discretionary
CBRE,Real Estate Services,Real Estate
CBRL,Restaurants,Consumer Discretionary
CBT,Specialty Chemicals,Materials
CBZ,Specialty Business Services,Industrials
CCA.TO,Telecom Services,Communication Services
CCEL,Medical Care Facilities,Health Care
CCF,Specialty Chemicals,Materials
CCI,REIT—Specialty,Real Estate
CCJ,Uranium,Energy
CCK,Packaging & Containers,Consumer Discretionary
CCO,Advertising Agencies,Communication Services
CCO.TO,Uranium,Energy
CCOI,Telecom Services,Communication Services
CCRN,Medical Care Facilities,Health Care
CCU,Beverages—Brewers,Consumer Staples
CDE,Gold,Materials
CDNS,Software—Application,Information Technology
CDPYF,REIT—Residential,Real Estate
CE,Chemicals,Materials
CECO,Pollution & Treatment Controls,Industrials
CENT,Packaged Foods,Consumer Staples
CENTA,Packaged Foods,Consumer Staples
CEQP,Oil & Gas Midstream,Energy
CESDF,Oil & Gas Equipment & Services,Energy
CEU.TO,Oil & Gas Equipment & Services,Energy
CEVA,Semiconductors,Information Technology
CF,Agricultural Inputs,Materials
CF.TO,Capital Markets,Financials
CFP.TO,Lumber & Wood Production,Materials
CFX.TO,Paper & Paper Products,Materials
CG.TO,Gold,Materials
CGAU,Gold,Materials
CGEMY,Information Technology Services,Information Technology
CGG.TO,Other Precious Metals & Mining,Materials
CGNX,Scientific & Technical Instruments,Information Technology
CGO.TO,Telecom Services,Communication Services
CGY.TO,Specialty Business Services,Industrials
CHD,Household & Personal Products,Consumer Staples
CHDN,Gambling,Consumer Discretionary
CHE,Medical Care Facilities,Health Care
CHEF,Food Distribution,Consumer Staples
CHEOY,Medical Devices,Health Care
CHH,Lodging,Consumer Discretionary
CHKP,Software—Infrastructure,Information Technology
CHRW,Integrated Freight & Logistics,Industrials
CHS,Apparel Retail,Consumer Discretionary
CHT,Telecom Services,Communication Services
CHTR,Telecom Services,Communication Services
CIG,Utilities—Diversified,Utilities
CIGI,Real Estate Services,Real Estate
CIGI.TO,Real Estate Services,Real Estate
CIOXY,Software—Infrastructure,Information Technology
CIR,Specialty Industrial Machinery,Industrials
CIX,Security & Protection Services,Industrials
CIX.TO,Asset Management,Financials
CJREF,Entertainment,Communication Services
CL,Household & Personal Products,Consumer Staples
CLB,Oil & Gas Equipment & Services,Energy
CLDT,REIT—Hotel & Motel,Real Estate
CLF,Steel,Materials
CLFD,Communication Equipment,Information Technology
CLH,Waste Management,Industrials
CLMB,Electronics & Computer Distribution,Information Technology
CLMT,Oil & Gas E&P,Energy
CLPHY,Utilities—Regulated Electric,Utilities
CLS,Electronic Components,Information Technology
CLS.TO,Electronic Components,Information Technology
CLW,Paper & Paper Products,Materials
CLX,Household & Personal Products,Consumer Staples
CMC,Steel,Materials
CMCO,Farm & Heavy Construction Machinery,Industrials
CMCSA,Telecom Services,Communication Services
CME,Financial Data & Stock Exchanges,Financials
CMG.TO,Software—Application,Information Technology
CMI,Specialty Industrial Machinery,Industrials
CMI.V,Communication Equipment,Information Technology
CMP,Other Industrial Metals & Mining,Materials
CMPR,Advertising Agencies,Communication Services
CMS,Utilities—Regulated Electric,Utilities
CMSQY,Capital Markets,Financials
CMT,Specialty Chemicals,Materials
CMTL,Communication Equipment,Information Technology
CNC,Healthcare Plans,Health Care
CNE.TO,Oil & Gas E&P,Energy
CNI,Railroads,Industrials
CNK,Entertainment,Communication Services
CNMD,Medical Devices,Health Care
CNNEF,Oil & Gas E&P,Energy
CNP,Utilities—Regulated Electric,Utilities
CNQ,Oil & Gas E&P,Energy
CNQ.TO,Oil & Gas E&P,Energy
CNR.TO,Railroads,Industrials
CNS,Asset Management,Financials
CNSL,Telecom Services,Communication Services
CNSWF,Software—Application,Information Technology
CNTY,Resorts & Casinos,Consumer Discretionary
CNX,Oil & Gas E&P,Energy
CNXN,Electronics & Computer Distribution,Information Technology
CO,Diagnostics & Research,Health Care
CODGF,Building Products & Equipment,Industrials
CODI,Conglomerates,Industrials
COHR,Scientific & Technical Instruments,Information Technology
COKE,Beverages—Non-Alcoholic,Consumer Staples
COLM,Apparel Manufacturing,Consumer Discretionary
CONN,Specialty Retail,Consumer Discretionary
COO,Medical Instruments & Supplies,Health Care
COP,Oil & Gas E&P,Energy
COST,Discount Stores,Consumer Staples
CP,Railroads,Industrials
CP.TO,Railroads,Industrials
CPA,Airlines,Industrials
CPB,Packaged Foods,Consumer Staples
CPE,Oil & Gas E&P,Energy
CPH.TO,Drug Manufacturers—Specialty & Generic,Health Care
CPHC,Gambling,Consumer Discretionary
CPK,Utilities—Regulated Gas,Utilities
CPLP,Marine Shipping,Industrials
CPRT,Auto & Truck Dealerships,Consumer Discretionary
CPSI,Health Information Services,Health Care
CPYYY,Utilities—Independent Power Producers,Utilities
CQP,Oil & Gas Midstream,Energy
CR.TO,Oil & Gas E&P,Energy
CRAI,Consulting Services,Industrials
CRESY,Conglomerates,Industrials
CRH,Building Materials,Materials
CRI,Apparel Retail,Consumer Discretionary
CRL,Diagnostics & Research,Health Care
CRMT,Auto & Truck Dealerships,Consumer Discretionary
CROX,Footwear & Accessories,Consumer Discretionary
CRRFY,Grocery Stores,Consumer Staples
CRS,Metal Fabrication,Industrials
CRT,Oil & Gas E&P,Energy
CRUS,Semiconductors,Information Technology
CRVL,Insurance Brokers,Financials
CRWS,"Furnishings, Fixtures & Appliances",Consumer Discretionary
CS.TO,Copper,Materials
CSCO,Communication Equipment,Information Technology
CSGP,Real Estate Services,Real Estate
CSGS,Software—Infrastructure,Information Technology
CSIQ,Solar,Information Technology
CSL,Building Products & Equipment,Industrials
CSR,REIT—Residential,Real Estate
CSU.TO,Software—Application,Information Technology
CSUAY,Thermal Coal,Energy
CSV,Personal Services,Consumer Discretionary
CSX,Railroads,Industrials
CTAS,Specialty Business Services,Industrials
CTC.TO,Specialty Retail,Consumer Discretionary
CTG,Information Technology Services,Information Technology
CTRA,Oil & Gas E&P,Energy
CTRN,Apparel Retail,Consumer Discretionary
CTS,Electronic Components,Information Technology
CTSH,Information Technology Services,Information Technology
CTTAY,Auto Parts,Consumer Discretionary
CU.TO,Utilities—Diversified,Utilities
CUBE,REIT—Industrial,Real Estate
CULP,Textile Manufacturing,Consumer Discretionary
CUZ,REIT—Office,Real Estate
CVCO,Residential Construction,Consumer Discretionary
CVGI,Auto Parts,Consumer Discretionary
CVGW,Food Distribution,Consumer Staples
CVI,Oil & Gas Refining & Marketing,Energy
CVLG,Trucking,Industrials
CVLT,Software—Application,Information Technology
CVR,Tools & Accessories,Industrials
CVS,Healthcare Plans,Health Care
CVX,Oil & Gas Integrated,Energy
CW,Aerospace & Defense,Industrials
CWCO,Utilities—Regulated Water,Utilities
CWST,Waste Management,Industrials
CWT,Utilities—Regulated Water,Utilities
CWYUF,REIT—Retail,Real Estate
CX,Building Materials,Materials
CXW,Security & Protection Services,Industrials
CYAN,Packaged Foods,Consumer Staples
CYH,Medical Care Facilities,Health Care
D,Utilities—Regulated Electric,Utilities
DAC,Marine Shipping,Industrials
DAKT,Electronic Components,Information Technology
DAL,Airlines,Industrials
DAN,Auto Parts,Consumer Discretionary
DANOY,Packaged Foods,Consumer Staples
DAR,Packaged Foods,Consumer Staples
DASTY,Software—Application,Information Technology
DBI,Footwear & Accessories,Consumer Discretionary
DBM.TO,Industrial Distribution,Industrials
DBOEY,Financial Data & Stock Exchanges,Financials
DCI,Specialty Industrial Machinery,Industrials
DCM.TO,Specialty Business Services,Industrials
DCO,Aerospace & Defense,Industrials
DCP,Oil & Gas Midstream,Energy
DD,Specialty Chemicals,Materials
DDS,Department Stores,Consumer Discretionary
DE,Farm & Heavy Construction Machinery,Industrials
DECK,Footwear & Accessories,Consumer Discretionary
DEI,REIT—Office,Real Estate
DENN,Restaurants,Consumer Discretionary
DEO,Beverages—Wineries & Distilleries,Consumer Staples
DGII,Communication Equipment,Information Technology
DGX,Diagnostics & Research,Health Care
DHC,REIT—Healthcare Facilities,Real Estate
DHI,Residential Construction,Consumer Discretionary
DHR,Diagnostics & Research,Health Care
DHT,Oil & Gas Midstream,Energy
DHX,Software—Application,Information Technology
DIFTY,Real Estate—Diversified,Real Estate
DIN,Restaurants,Consumer Discretionary
DINO,Oil & Gas Refining & Marketing,Energy
DIOD,Semiconductors,Information Technology
DIS,Entertainment,Communication Services
DISH,Telecom Services,Communication Services
DIT,Food Distribution,Consumer Staples
DK,Oil & Gas Refining & Marketing,Energy
DKS,Specialty Retail,Consumer Discretionary
DLA,Apparel Manufacturing,Consumer Discretionary
DLB,Specialty Business Services,Industrials
DLR,REIT—Specialty,Real Estate
DLTR,Discount Stores,Consumer Staples
DLX,Advertising Agencies,Communication Services
DMLP,Oil & Gas E&P,Energy
DNG.TO,Gold,Materials
DNPLY,Specialty Business Services,Industrials
DNZOY,Auto Parts,Consumer Discretionary
DOL.TO,Discount Stores,Consumer Staples
DORM,Auto Parts,Consumer Discretionary
DOV,Specialty Industrial Machinery,Industrials
DOX,Software—Infrastructure,Information Technology
DPM.TO,Gold,Materials
DPSGY,Integrated Freight & Logistics,Industrials
DPZ,Restaurants,Consumer Discretionary
DQ,Semiconductor Equipment & Materials,Information Technology
DR.TO,Medical Care Facilities,Health Care
DRH,REIT—Hotel & Motel,Real Estate
DRI,Restaurants,Consumer Discretionary
DSG.TO,Software—Application,Information Technology
DSGX,Software—Application,Information Technology
DSNKY,Drug Manufacturers—General,Health Care
DTE,Utilities—Regulated Electric,Utilities
DTEGF,Telecom Services,Communication Services
DTEGY,Telecom Services,Communication Services
DUK,Utilities—Regulated Electric,Utilities
DVA,Medical Care Facilities,Health Care
DVN,Oil & Gas E&P,Energy
DWAHY,Real Estate—Development,Real Estate
DXC,Information Technology Services,Information Technology
DXPE,Industrial Distribution,Industrials
DY,Engineering & Construction,Industrials
E,Oil & Gas Integrated,Energy
EA,Electronic Gaming & Multimedia,Communication Services
EADSY,Aerospace & Defense,Industrials
EAT,Restaurants,Consumer Discretionary
EBAY,Internet Retail,Consumer Discretionary
EBF,Business Equipment & Supplies,Industrials
EBIX,Software—Application,Information Technology
EBS,Drug Manufacturers—Specialty & Generic,Health Care
EC,Oil & Gas Integrated,Energy
ECIFY,Utilities—Diversified,Utilities
ECL,Specialty Chemicals,Materials
ECTM,Oil & Gas Integrated,Energy
ED,Utilities—Regulated Electric,Utilities
EDPFY,Utilities—Diversified,Utilities
EDU,Education & Training Services,Consumer Staples
EDV.TO,Gold,Materials
EDVMF,Gold,Materials
EEFT,Software—Infrastructure,Information Technology
EFX,Consulting Services,Industrials
EGO,Gold,Materials
EGP,REIT—Industrial,Real Estate
EGY,Oil & Gas E&P,Energy
EHC,Medical Care Facilities,Health Care
EHTH,Insurance Brokers,Financials
EIF.TO,Airlines,Industrials
EIPAF,Oil & Gas Integrated,Energy
EIX,Utilities—Regulated Electric,Utilities
EL,Household & Personal Products,Consumer Staples
ELD.TO,Gold,Materials
ELME,REIT—Residential,Real Estate
ELP,Utilities—Diversified,Utilities
ELS,REIT—Residential,Real Estate
ELUXY,"Furnishings, Fixtures & Appliances",Consumer Discretionary
EMA.TO,Utilities—Regulated Electric,Utilities
EME,Engineering & Construction,Industrials
EML,Tools & Accessories,Industrials
EMN,Specialty Chemicals,Materials
EMR,Specialty Industrial Machinery,Industrials
EMRAF,Utilities—Regulated Electric,Utilities
ENB,Oil & Gas Midstream,Energy
ENB.TO,Oil & Gas Midstream,Energy
ENDPQ,Drug Manufacturers—Specialty & Generic,Health Care
ENGGY,Utilities—Regulated Gas,Utilities
ENGH.TO,Software—Application,Information Technology
ENGIY,Utilities—Diversified,Utilities
ENLAY,Utilities—Diversified,Utilities
ENLC,Oil & Gas Midstream,Energy
ENOV,Specialty Industrial Machinery,Industrials
ENS,Electrical Equipment & Parts,Industrials
ENSG,Medical Care Facilities,Health Care
ENTG,Semiconductor Equipment & Materials,Information Technology
ENV,Software—Application,Information Technology
EOG,Oil & Gas E&P,Energy
EPAC,Specialty Industrial Machinery,Industrials
EPC,Household & Personal Products,Consumer Staples
EPD,Oil & Gas Midstream,Energy
EPM,Oil & Gas E&P,Energy
EQIX,REIT—Specialty,Real Estate
EQNR,Oil & Gas Integrated,Energy
EQR,REIT—Residential,Real Estate
EQT,Oil & Gas E&P,Energy
ERF,Oil & Gas E&P,Energy
ERF.TO,Oil & Gas E&P,Energy
ERIC,Communication Equipment,Information Technology
ERIXF,Communication Equipment,Information Technology
ERJ,Aerospace & Defense,Industrials
ES,Utilities—Regulated Electric,Utilities
ESCA,Leisure,Consumer Discretionary
ESE,Scientific & Technical Instruments,Information Technology
ESLOY,Medical Instruments & Supplies,Health Care
ESLT,Aerospace & Defense,Industrials
ESP,Electrical Equipment & Parts,Industrials
ESS,REIT—Residential,Real Estate
ET,Oil & Gas Midstream,Energy
ET.TO,Communication Equipment,Information Technology
ETD,"Furnishings, Fixtures & Appliances",Consumer Discretionary
ETN,Specialty Industrial Machinery,Industrials
ETR,Utilities—Regulated Electric,Utilities
EVC,Advertising Agencies,Communication Services
EVKG,Apparel Manufacturing,Consumer Discretionary
EVRG,Utilities—Regulated Electric,Utilities
EVRI,Gambling,Consumer Discretionary
EW,Medical Devices,Health Care
EXC,Utilities—Regulated Electric,Utilities
EXETF,Medical Care Facilities,Health Care
EXLS,Information Technology Services,Information Technology
EXP,Building Materials,Materials
EXPD,Integrated Freight & Logistics,Industrials
EXPE,Travel Services,Consumer Discretionary
EXPO,Consulting Services,Industrials
EXR,REIT—Industrial,Real Estate
EZPW,Credit Services,Financials
F,Auto Manufacturers,Consumer Discretionary
FANH,Insurance Brokers,Financials
FANUY,Specialty Industrial Machinery,Industrials
FAST,Industrial Distribution,Industrials
FC,Consulting Services,Industrials
FCFS,Credit Services,Financials
FCN,Consulting Services,Industrials
FCX,Copper,Materials
FDP,Farm Products,Consumer Staples
FDS,Financial Data & Stock Exchanges,Financials
FDX,Integrated Freight & Logistics,Industrials
FE,Utilities—Regulated Electric,Utilities
FELE,Specialty Industrial Machinery,Industrials
FFIV,Software—Infrastructure,Information Technology
FICO,Software—Application,Information Technology
FIS,Information Technology Services,Information Technology
FISV,Information Technology Services,Information Technology
FIX,Engineering & Construction,Industrials
FIZZ,Beverages—Non-Alcoholic,Consumer Staples
FL,Apparel Retail,Consumer Discretionary
FLEX,Electronic Components,Information Technology
FLL,Resorts & Casinos,Consumer Discretionary
FLO,Packaged Foods,Consumer Staples
FLR,Engineering & Construction,Industrials
FLS,Specialty Industrial Machinery,Industrials
FLWS,Specialty Retail,Consumer Discretionary
FLXS,"Furnishings, Fixtures & Appliances",Consumer Discretionary
FM.TO,Copper,Materials
FMC,Agricultural Inputs,Materials
FMS,Medical Care Facilities,Health Care
FMX,Beverages—Brewers,Consumer Staples
FNLPF,Other Precious Metals & Mining,Materials
FNV,Gold,Materials
FNV.TO,Gold,Materials
FONR,Diagnostics & Research,Health Care
FORR,Consulting Services,Industrials
FORTY,Information Technology Services,Information Technology
FOSL,Luxury Goods,Consumer Discretionary
FPAFY,Packaged Foods,Consumer Staples
FR,REIT—Industrial,Real Estate
FR.TO,Silver,Materials
FRCOF,Apparel Retail,Consumer Discretionary
FRCOY,Apparel Retail,Consumer Discretionary
FRD,Steel,Materials
FRO,Oil & Gas Midstream,Energy
FRPH,Real Estate Services,Real Estate
FRT,REIT—Retail,Real Estate
FRU.TO,Oil & Gas E&P,Energy
FSLR,Solar,Information Technology
FSM,Gold,Materials
FSS,Pollution & Treatment Controls,Industrials
FSTR,Railroads,Industrials
FSUMF,Other Industrial Metals & Mining,Materials
FTI,Oil & Gas Equipment & Services,Energy
FTS,Utilities—Regulated Electric,Utilities
FTS.TO,Utilities—Regulated Electric,Utilities
FTT.TO,Industrial Distribution,Industrials
FUJHY,Auto Manufacturers,Consumer Discretionary
FUJIY,Conglomerates,Industrials
FUL,Specialty Chemicals,Materials
FUN,Leisure,Consumer Discretionary
FVI.TO,Gold,Materials
FWRD,Integrated Freight & Logistics,Industrials
G,Information Technology Services,Information Technology
GAMI,Asset Management,Financials
GASS,Marine Shipping,Industrials
GATX,Rental & Leasing Services,Industrials
GBX,Railroads,Industrials
GCO,Apparel Retail,Consumer Discretionary
GD,Aerospace & Defense,Industrials
GDOT,Credit Services,Financials
GE,Specialty Industrial Machinery,Industrials
GEF,Packaging & Containers,Consumer Discretionary
GEI.TO,Oil & Gas Midstream,Energy
GEL,Oil & Gas Midstream,Energy
GELYF,Auto Manufacturers,Consumer Discretionary
GELYY,Auto Manufacturers,Consumer Discretionary
GEN,Software—Infrastructure,Information Technology
GENC,Farm & Heavy Construction Machinery,Industrials
GEO,Security & Protection Services,Industrials
GES,Apparel Retail,Consumer Discretionary
GFF,Conglomerates,Industrials
GGB,Steel,Materials
GGDVY,Utilities—Regulated Water,Utilities
GGE,Real Estate—Development,Real Estate
GGG,Specialty Industrial Machinery,Industrials
GH.TO,Resorts & Casinos,Consumer Discretionary
GHC,Education & Training Services,Consumer Staples
GHL,Capital Markets,Financials
GHM,Specialty Industrial Machinery,Industrials
GIB,Information Technology Services,Information Technology
GIC,Industrial Distribution,Industrials
GIFLF,Drug Manufacturers—General,Health Care
GIII,Apparel Manufacturing,Consumer Discretionary
GIL,Apparel Manufacturing,Consumer Discretionary
GIL.TO,Apparel Manufacturing,Consumer Discretionary
GILD,Drug Manufacturers—General,Health Care
GIS,Packaged Foods,Consumer Staples
GLAXF,Drug Manufacturers—General,Health Care
GLDD,Engineering & Construction,Industrials
GLP,Oil & Gas Midstream,Energy
GLT,Paper & Paper Products,Materials
GLW,Electronic Components,Information Technology
GMBXF,Other Industrial Metals & Mining,Materials
GNSS,Scientific & Technical Instruments,Information Technology
GNTX,Auto Parts,Consumer Discretionary
GOL,Airlines,Industrials
GOLD,Gold,Materials
GOOD,REIT—Diversified,Real Estate
GOOG,Internet Content & Information,Communication Services
GOOGL,Internet Content & Information,Communication Services
GORO,Gold,Materials
GPC,Specialty Retail,Consumer Discretionary
GPDNF,Packaged Foods,Consumer Staples
GPI,Auto & Truck Dealerships,Consumer Discretionary
GPK,Packaging & Containers,Consumer Discretionary
GPN,Specialty Business Services,Industrials
GPS,Apparel Retail,Consumer Discretionary
GRBMF,Packaged Foods,Consumer Staples
GRC,Specialty Industrial Machinery,Industrials
GRMN,Scientific & Technical Instruments,Information Technology
GSK,Drug Manufacturers—General,Health Care
GSL,Marine Shipping,Industrials
GSY.TO,Credit Services,Financials
GT,Auto Parts,Consumer Discretionary
GTE,Oil & Gas E&P,Energy
GTE.TO,Oil & Gas E&P,Energy
GTLS,Specialty Industrial Machinery,Industrials
GTN,Broadcasting,Communication Services
GTY,REIT—Retail,Real Estate
GVC.TO,Publishing,Communication Services
GVDBF,Specialty Chemicals,Materials
GVDNY,Specialty Chemicals,Materials
GWW,Industrial Distribution,Industrials
HAE,Medical Instruments & Supplies,Health Care
HAIN,Packaged Foods,Consumer Staples
HAL,Oil & Gas Equipment & Services,Energy
HAS,Leisure,Consumer Discretionary
HAYN,Metal Fabrication,Industrials
HBI,Apparel Manufacturing,Consumer Discretionary
HBM.TO,Copper,Materials
HCCI,Waste Management,Industrials
HCKT,Information Technology Services,Information Technology
HCSG,Medical Care Facilities,Health Care
HD,Home Improvement Retail,Consumer Discretionary
HE,Utilities—Regulated Electric,Utilities
HEES,Rental & Leasing Services,Industrials
HEI,Aerospace & Defense,Industrials
HEINY,Beverages—Brewers,Consumer Staples
HELE,Household & Personal Products,Consumer Staples
HEP,Oil & Gas Midstream,Energy
HESAF,Luxury Goods,Consumer Discretionary
HESAY,Luxury Goods,Consumer Discretionary
HGKGY,Utilities—Independent Power Producers,Utilities
HI,Specialty Industrial Machinery,Industrials
HIBB,Apparel Retail,Consumer Discretionary
HIHO,Metal Fabrication,Industrials
HIMX,Semiconductors,Information Technology
HIW,REIT—Office,Real Estate
HKHHF,Beverages—Brewers,Consumer Staples
HKXCY,Financial Data & Stock Exchanges,Financials
HL,Other Precious Metals & Mining,Materials
HLDCY,Real Estate—Diversified,Real Estate
HLF,Packaged Foods,Consumer Staples
HLF.TO,Packaged Foods,Consumer Staples
HLIO,Specialty Industrial Machinery,Industrials
HLPPY,Real Estate Services,Real Estate
HLX,Oil & Gas Equipment & Services,Energy
HMC,Auto Manufacturers,Consumer Discretionary
HNDAF,Auto Manufacturers,Consumer Discretionary
HNI,Business Equipment & Supplies,Industrials
HNNMY,Apparel Manufacturing,Consumer Discretionary
HNRG,Thermal Coal,Energy
HOCPY,Medical Instruments & Supplies,Health Care
HOFT,"Furnishings, Fixtures & Appliances",Consumer Discretionary
HOG,Recreational Vehicles,Consumer Discretionary
HOKCY,Utilities—Regulated Gas,Utilities
HOLI,Electrical Equipment & Parts,Industrials
HOLX,Medical Instruments & Supplies,Health Care
HON,Conglomerates,Industrials
HPQ,Computer Hardware,Information Technology
HRB,Personal Services,Consumer Discretionary
HRL,Packaged Foods,Consumer Staples
HRUFF,REIT—Diversified,Real Estate
HRX.TO,Aerospace & Defense,Industrials
HSC,Waste Management,Industrials
HSIC,Medical Distribution,Health Care
HSII,Staffing & Employment Services,Industrials
HST,REIT—Hotel & Motel,Real Estate
HSTM,Health Information Services,Health Care
HSY,Confectioners,Consumer Staples
HT,REIT—Hotel & Motel,Real Estate
HTHIF,Conglomerates,Industrials
HTHIY,Conglomerates,Industrials
HTLD,Trucking,Industrials
HUBB,Electrical Equipment & Parts,Industrials
HUBG,Integrated Freight & Logistics,Industrials
HUN,Chemicals,Materials
HURC,Specialty Industrial Machinery,Industrials
HURN,Consulting Services,Industrials
HVT,Home Improvement Retail,Consumer Discretionary
HWKN,Specialty Chemicals,Materials
HXL,Aerospace & Defense,Industrials
HYPMY,Drug Manufacturers—Specialty & Generic,Health Care
HZO,Specialty Retail,Consumer Discretionary
IAG,Gold,Materials
IART,Medical Devices,Health Care
IBA,Farm Products,Consumer Staples
IBDRY,Utilities—Diversified,Utilities
IBM,Information Technology Services,Information Technology
ICE,Financial Data & Stock Exchanges,Financials
ICFI,Consulting Services,Industrials
ICLR,Diagnostics & Research,Health Care
ICUI,Medical Instruments & Supplies,Health Care
IDA,Utilities—Regulated Electric,Utilities
IDCC,Telecom Services,Communication Services
IDEXF,Apparel Retail,Consumer Discretionary
IDEXY,Apparel Retail,Consumer Discretionary
IDT,Telecom Services,Communication Services
IDXX,Diagnostics & Research,Health Care
IEP,Oil & Gas Refining & Marketing,Energy
IEX,Specialty Industrial Machinery,Industrials
IFF,Specialty Chemicals,Materials
IFJPY,Publishing,Communication Services
IFNNY,Semiconductors,Information Technology
IGT,Gambling,Consumer Discretionary
III,Information Technology Services,Information Technology
IIIN,Metal Fabrication,Industrials
IKTSF,Specialty Business Services,Industrials
ILMN,Diagnostics & Research,Health Care
IMAX,Entertainment,Communication Services
IMG.TO,Gold,Materials
IMKTA,Grocery Stores,Consumer Staples
IMO,Oil & Gas Integrated,Energy
IMO.TO,Oil & Gas Integrated,Energy
IMPUY,Other Precious Metals & Mining,Materials
INDT,REIT—Industrial,Real Estate
INE.TO,Utilities—Renewable,Utilities
INFU,Medical Instruments & Supplies,Health Care
INFY,Information Technology Services,Information Technology
INGR,Packaged Foods,Consumer Staples
INGXF,Utilities—Renewable,Utilities
INT,Oil & Gas Refining & Marketing,Energy
INTC,Semiconductors,Information Technology
INTG,Lodging,Consumer Discretionary
INTT,Semiconductor Equipment & Materials,Information Technology
INTU,Software—Application,Information Technology
IOSP,Specialty Chemicals,Materials
IP,Packaging & Containers,Consumer Discretionary
IPAR,Household & Personal Products,Consumer Staples
IPG,Advertising Agencies,Communication Services
IPGP,Semiconductor Equipment & Materials,Information Technology
IPOAF,Other Industrial Metals & Mining,Materials
IPXHY,Oil & Gas E&P,Energy
IRBT,"Furnishings, Fixtures & Appliances",Consumer Discretionary
IRDM,Telecom Services,Communication Services
IRM,REIT—Specialty,Real Estate
ISRG,Medical Instruments & Supplies,Health Care
ISSC,Aerospace & Defense,Industrials
ISUZY,Auto Manufacturers,Consumer Discretionary
IT,Information Technology Services,Information Technology
ITGR,Medical Devices,Health Care
ITOCY,Conglomerates,Industrials
ITP,Paper & Paper Products,Materials
ITRI,Scientific & Technical Instruments,Information Technology
ITRN,Communication Equipment,Information Technology
ITT,Specialty Industrial Machinery,Industrials
ITVPY,Broadcasting,Communication Services
ITW,Specialty Industrial Machinery,Industrials
IVZ,Asset Management,Financials
J,Engineering & Construction,Industrials
JACK,Restaurants,Consumer Discretionary
JAPAF,Tobacco,Consumer Staples
JAZZ,Biotechnology,Health Care
JBHT,Integrated Freight & Logistics,Industrials
JBL,Electronic Components,Information Technology
JBSAY,Packaged Foods,Consumer Staples
JBSS,Packaged Foods,Consumer Staples
JBT,Specialty Industrial Machinery,Industrials
JCI,Building Products & Equipment,Industrials
JCTCF,Lumber & Wood Production,Materials
JEF,Capital Markets,Financials
JHX,Building Materials,Materials
JJSF,Packaged Foods,Consumer Staples
JKHY,Information Technology Services,Information Technology
JLL,Real Estate Services,Real Estate
JMHLY,Conglomerates,Industrials
JNJ,Drug Manufacturers—General,Health Care
JNPR,Communication Equipment,Information Technology
JOE,Real Estate—Diversified,Real Estate
JOUT,Leisure,Consumer Discretionary
JSGRY,Building Products & Equipment,Industrials
JVA,Packaged Foods,Consumer Staples
JWN,Department Stores,Consumer Discretionary
K,Packaged Foods,Consumer Staples
KAI,Specialty Industrial Machinery,Industrials
KALU,Aluminum,Materials
KAMN,Aerospace & Defense,Industrials
KAOOY,Household & Personal Products,Consumer Staples
KBAL,"Furnishings, Fixtures & Appliances",Consumer Discretionary
KBL.TO,Specialty Business Services,Industrials
KBR,Engineering & Construction,Industrials
KCDMY,Household & Personal Products,Consumer Staples
KDDIY,Telecom Services,Communication Services
KDP,Beverages—Non-Alcoholic,Consumer Staples
KELYA,Staffing & Employment Services,Industrials
KEP,Utilities—Regulated Electric,Utilities
KEX,Marine Shipping,Industrials
KEY.TO,Oil & Gas Midstream,Energy
KEYUF,Oil & Gas Midstream,Energy
KFRC,Staffing & Employment Services,Industrials
KFY,Staffing & Employment Services,Industrials
KHOLY,Conglomerates,Industrials
KIM,REIT—Retail,Real Estate
KIRK,Home Improvement Retail,Consumer Discretionary
KLAC,Semiconductor Equipment & Materials,Information Technology
KLBAY,Paper & Paper Products,Materials
KLIC,Semiconductor Equipment & Materials,Information Technology
KMB,Household & Personal Products,Consumer Staples
KMT,Tools & Accessories,Industrials
KMTUY,Farm & Heavy Construction Machinery,Industrials
KMX,Auto & Truck Dealerships,Consumer Discretionary
KNBWY,Beverages—Brewers,Consumer Staples
KNX,Trucking,Industrials
KNYJF,Specialty Industrial Machinery,Industrials
KO,Beverages—Non-Alcoholic,Consumer Staples
KOF,Beverages—Non-Alcoholic,Consumer Staples
KOP,Specialty Chemicals,Materials
KR,Grocery Stores,Consumer Staples
KRC,REIT—Office,Real Estate
KRG,REIT—Retail,Real Estate
KRO,Specialty Chemicals,Materials
